hand,high_card_wins,one_pair_wins,two_pair_wins,three_of_a_kind_wins,straight_wins,flush_wins,full_house_wins,four_of_a_kind_wins,straight_flush_wins,tot_wins,tot_sims,tot_win_perc,high_card_win_perc,one_pair_win_perc,two_pair_win_perc,three_of_a_kind_win_perc,straight_win_perc,flush_win_perc,full_house_win_perc,four_of_a_kind_win_perc,straight_flush_win_perc,straight_win_potential,flush_win_potential,value_win_potential,highcard_win_potential
22o,0.0,1487017440.0,2118410928.0,1336752180.0,79210800.0,147734352.0,942474528.0,102694320.0,1044384.0,6215338932.0,12346602360.0,0.5034048032628144,0.0,0.23924961394205108,0.3408359465472188,0.21507309490680565,0.012744405553199846,0.023769315497724815,0.15163686780581187,0.016522722432926847,0.0001680333142610991,0.012912438867460945,0.023937348811985913,0.42008247282499117,0.0
32o,0.0,2088124560.0,2813515524.0,671886168.0,998413704.0,303705876.0,455871744.0,25682580.0,2623344.0,7359823500.0,23628509460.0,0.311480650629242,0.0,0.28371937995523944,0.3822802984337872,0.0912910707709227,0.13565728906406518,0.041265374910145605,0.06194058104790149,0.0034895646614351555,0.00035644115650327755,0.13601373022056845,0.04162181606664888,0.3343567627674767,0.0
32s,0.0,669668760.0,917191548.0,221779452.0,310456956.0,488551716.0,151948008.0,8560764.0,8355048.0,2776512252.0,7904918228.0,0.3512385798205122,0.0,0.24119063746886718,0.33033945639509465,0.07987699382210398,0.11181544607857181,0.17595878269511775,0.054726215557142806,0.0030832797492009773,0.0030091882339008673,0.11482463431247268,0.17896797092901862,0.4314790943699391,0.0
33o,0.0,1676699316.0,2315115000.0,1322448588.0,123431868.0,155642916.0,952437984.0,102692832.0,1578960.0,6650047464.0,12370515516.0,0.5375723796958051,0.0,0.2521334359005411,0.34813510919025226,0.19886302994964608,0.01856105067944219,0.023404782724119215,0.1432227347482884,0.015442420908411128,0.0002374358992996204,0.01879848657874181,0.023642218623418837,0.3999688908085063,0.0
42o,0.0,2163103764.0,2852541672.0,669843000.0,1097583264.0,310927476.0,457961112.0,25694676.0,3157944.0,7580812908.0,23619163524.0,0.3209602617932237,0.0,0.2853392888402886,0.37628440466981117,0.08836031282253616,0.14478437567582297,0.04101505732609224,0.06041055458798034,0.0033894354486554493,0.00041657062881309665,0.14520094630463606,0.041431627954905334,0.33879287711871336,0.0
42s,0.0,693778980.0,929956188.0,221105160.0,341059860.0,490159548.0,152644464.0,8564796.0,8544764.0,2845813760.0,7901795136.0,0.3601477526334087,0.0,0.24378931248122154,0.3267804102542536,0.07769488049702873,0.11984616308833927,0.1722388003352686,0.05363824792245013,0.003009612266404953,0.003002573155033167,0.12284873624337243,0.17524137349030175,0.432432850419558,0.0
43o,0.0,2240074824.0,2869745496.0,667351848.0,1485964800.0,318834024.0,460009368.0,25694676.0,3692520.0,8071367556.0,23620550484.0,0.3417095448925863,0.0,0.27753349211990713,0.355546377499154,0.0826813849536454,0.18410322534443133,0.039501859107257335,0.0569927419124958,0.0031834352508081963,0.000457483812300816,0.18456070915673214,0.039959342919558154,0.3673776141932397,0.0
43s,0.0,718562424.0,935573304.0,220285860.0,462180120.0,486686124.0,153322596.0,8564748.0,12453636.0,2997628812.0,7901204472.0,0.37938884161559006,0.0,0.2397102740417615,0.3121044541121124,0.07348670359657591,0.15418190476079532,0.1623570343505225,0.05114795914231425,0.002857174299137341,0.004154495696780753,0.15833640045757608,0.16651153004730326,0.4523397675429069,0.0
44o,0.0,1862501400.0,2511612792.0,1308135960.0,167836176.0,162864516.0,962362272.0,102699984.0,2113560.0,7080126660.0,12392548212.0,0.5713212923508455,0.0,0.263060463384422,0.35474122323116747,0.18476166074689968,0.0237052504933577,0.023003051191177418,0.13592444291102554,0.014505387958695078,0.00029852008325512077,0.02400377057661282,0.02330157127443254,0.38249683346766566,0.0
52o,33604200.0,2262444060.0,2895581856.0,669146808.0,1183900392.0,317595828.0,460048752.0,25737876.0,3692544.0,7851752316.0,23614887156.0,0.3324916297135492,0.004279834443009957,0.28814511321118447,0.36878160943761484,0.08522260777844944,0.1507816783251674,0.04044903802592135,0.05859185739500854,0.0032779785918045762,0.00047028279183940577,0.1512519611170068,0.04091932081776076,0.33926372570003016,0.004279834443009957
52s,10231200.0,725349516.0,943981512.0,220859016.0,367681236.0,491943660.0,153340344.0,8579196.0,8723484.0,2930689164.0,7900331468.0,0.3709577472629659,0.0034910560033721816,0.24750134709270724,0.32210222892133367,0.07536077817906724,0.12545896730247713,0.16785937793845135,0.052322281695241564,0.0029273646981689935,0.0029765981691806604,0.1284355654716578,0.17083597610763201,0.4298819661517676,0.0034910560033721816
53o,31546800.0,2334382392.0,2912134260.0,666602016.0,1585684080.0,323311176.0,462097008.0,25737876.0,4207512.0,8345703120.0,23605959120.0,0.3535422169281466,0.003780005057261131,0.2797106916499086,0.3489381563335553,0.07987367947495358,0.19000005837734615,0.03873983669814509,0.055369451962964146,0.003083967357803641,0.0005041530880623992,0.19050421146540855,0.03924398978620749,0.3680753000473374,0.003780005057261131
53s,9604800.0,748528512.0,949387776.0,220022232.0,492951684.0,488423436.0,154018476.0,8579148.0,12643364.0,3084159428.0,7897899464.0,0.3905037588865413,0.003114235896108805,0.24270097881593689,0.30782707514431384,0.0713394482796497,0.15983339885891268,0.1583651712572882,0.04993855849400013,0.002781681103159885,0.004099452150629873,0.16393285100954255,0.16246462340791806,0.45045716229427035,0.003114235896108805
54o,30861000.0,2403370056.0,2928451152.0,664110864.0,1974478824.0,332721960.0,464143536.0,25737876.0,4761720.0,8828636988.0,23620108272.0,0.3737763132299329,0.003495556566879653,0.2722243602570467,0.3316991236563911,0.07522235480999709,0.2236448079906035,0.03768667354340654,0.0525725020329718,0.0029152717497597036,0.0005393493929439156,0.2241841573835474,0.038226022936350454,0.39312030891262645,0.003495556566879653
54s,9396000.0,770748360.0,954712896.0,219202932.0,614202408.0,484901028.0,154696032.0,8579100.0,16552236.0,3232990992.0,7900147548.0,0.4092317228706018,0.0029062870955255666,0.23840102304869026,0.2953032960383825,0.06780190001840872,0.1899796224362632,0.1499852703579695,0.04784919982232973,0.002653610857942038,0.005119790324488476,0.19509941276075168,0.15510506068245797,0.46850918414189,0.0029062870955255666
55o,0.0,2044676700.0,2708071488.0,1293814296.0,212240484.0,169532868.0,972247392.0,102726144.0,2648160.0,7505957532.0,12413042868.0,0.6046831233741937,0.0,0.27240717673700793,0.3607896096473678,0.17237165151602674,0.028276270295316666,0.022586441140551874,0.1295300949752296,0.01368594793696203,0.0003528077515373824,0.028629078046854047,0.022939248892089256,0.36715602136716163,0.0
62o,106463520.0,2454500964.0,2988941772.0,674383608.0,782653896.0,324143532.0,462157128.0,25830684.0,3692544.0,7822767648.0,23662387368.0,0.33059925553324243,0.013609444226202843,0.31376375656862665,0.38208239161547447,0.08620780244858936,0.10004820943392029,0.04143591457466742,0.0590784679790607,0.0033019878848893048,0.0004720252685689892,0.10052023470248928,0.04190793984323641,0.291016432858265,0.013609444226202843
62s,32501460.0,786042960.0,974387868.0,222531504.0,242600772.0,497445428.0,154047852.0,8610180.0,4803120.0,2922971144.0,7915161532.0,0.3692876174646337,0.011119322907691354,0.2689191652177323,0.3333552813205603,0.0761319537679295,0.08299800444420671,0.17018485763060273,0.05270248812281809,0.0029456944922888364,0.0016432320961701564,0.08464123654037686,0.17182808972677288,0.3882494626501862,0.011119322907691354
63o,105091920.0,2529998652.0,3005658084.0,671891520.0,1184999832.0,332050080.0,464205384.0,25830684.0,4227120.0,8323953276.0,23656669044.0,0.351864975602353,0.012625241458647515,0.30394195739836827,0.36108541030210367,0.08071783895486632,0.14236022148474156,0.03989091108396558,0.05576741826968419,0.003103175035169431,0.0005078260124534605,0.14286804749719503,0.040398737096419036,0.322855216853334,0.012625241458647515
63s,32083860.0,810367584.0,979846728.0,221712240.0,368018556.0,493925204.0,154725984.0,8610132.0,8723508.0,3078013796.0,7912356856.0,0.3890135204993843,0.01042355951805487,0.26327613770058617,0.31833734120144275,0.07203094420438394,0.11956364733590687,0.16046880772330366,0.050268125568856285,0.0027973013022843515,0.002834135445181091,0.12239778278108795,0.16330294316848476,0.4107970970250972,0.01042355951805487
64o,99967680.0,2596656216.0,3021730752.0,669304224.0,1586783520.0,339269664.0,466251912.0,25830684.0,4761720.0,8810556372.0,23656841292.0,0.372431647287563,0.011346352690926294,0.2947210262739126,0.34296707545088506,0.07596617009648253,0.18010026302570487,0.03850717817074538,0.05291969000751772,0.002931788063020636,0.0005404562208049397,0.18064071924650982,0.03904763439155032,0.35150600180508107,0.011346352690926294
64s,30519420.0,831874488.0,985093584.0,220861936.0,493289004.0,490369996.0,155403540.0,8610084.0,12643388.0,3228665440.0,7911650144.0,0.4080900167771625,0.009452642451551127,0.25765273716312953,0.30510859743956625,0.06840657234525978,0.15278418069851177,0.15188008950224338,0.04813243827455842,0.00266676252464238,0.003915979600537366,0.15670016029904912,0.15579606910278074,0.4317020025462905,0.009452642451551127
65o,115372440.0,2674642080.0,3038249172.0,667230384.0,1975578264.0,345936000.0,468296712.0,25830684.0,5296320.0,9316432056.0,23695077060.0,0.39318006995331545,0.012383757999469062,0.2870886691303102,0.3261172467890534,0.07161866044740679,0.21205309630607797,0.037131811612065496,0.05026567136271937,0.0027725940408017506,0.0005684923120959216,0.21262158861817387,0.03770030392416142,0.37497881839326325,0.012383757999469062
65s,35206140.0,856886568.0,990479796.0,220177876.0,614539728.0,486796856.0,156080520.0,8610036.0,16552260.0,3385329780.0,7922917124.0,0.427283250224239,0.010399619029139311,0.2531176055763761,0.29258000264895906,0.0650388264389415,0.1815302401646672,0.14379599260193787,0.04610496765251627,0.0025433374470241418,0.004889408440438556,0.18641964860510576,0.14868540104237643,0.4487921811859641,0.010399619029139311
66o,0.0,2217127032.0,2897732448.0,1300328820.0,212240484.0,176078556.0,982128120.0,102786720.0,2648160.0,7891070340.0,12438254136.0,0.6344194493631465,0.0,0.28096657822974114,0.3672166541605052,0.16478484717194905,0.02689628590992892,0.022313646744150047,0.12446069768527751,0.013025700642785045,0.00033558945566312113,0.027231875365592042,0.02264923619981317,0.3521523570654168,0.0
72o,214552080.0,2705891940.0,3081283416.0,683539704.0,472098600.0,330440028.0,464263200.0,25991460.0,3692544.0,7981752972.0,23724365760.0,0.33643693798792623,0.026880320745661886,0.3390097325101732,0.3860409394789774,0.08563779239947142,0.05914723265128882,0.04139943057110187,0.05816556859484826,0.003256359861195664,0.0004626231872814718,0.05960985583857029,0.04186205375838334,0.24853163045246895,0.026880320745661886
72s,65582040.0,865057464.0,1004368896.0,225446328.0,145598652.0,502972412.0,154754496.0,8663820.0,1060920.0,2973505028.0,7934519732.0,0.37475551494412745,0.022055466320872824,0.29092180973436715,0.3377727249634232,0.07581837793347763,0.04896532900700378,0.1691513574935176,0.052044470933378224,0.0029136725576103515,0.0003567910563492748,0.049322120063353056,0.16950814854986687,0.3496067900376861,0.022055466320872824
73o,214552080.0,2791489140.0,3099907512.0,681698136.0,864567576.0,338346576.0,466311456.0,25991460.0,4227120.0,8487091056.0,23718838740.0,0.3578206820761074,0.025279813611557886,0.32891000244736857,0.3652497058822648,0.08032176531416726,0.10186854015060776,0.03986602403196839,0.05494361412210116,0.003062469794244187,0.0004980646457199975,0.10236660479632775,0.04036408867768839,0.28105854270452874,0.025279813611557886
73s,65582040.0,892613088.0,1010445480.0,224841624.0,267864276.0,499452188.0,155432628.0,8663772.0,4981320.0,3129876416.0,7931780504.0,0.39459947415609925,0.02095355575854149,0.2851911607234527,0.3228387788203328,0.07183722106425815,0.08558302002937614,0.1595756897770113,0.04966094737971916,0.0027680875691163394,0.0015915388781919241,0.08717455890756806,0.16116722865520322,0.3726080435758649,0.02095355575854149
74o,209976480.0,2859474024.0,3115917180.0,679133256.0,1267188696.0,345566160.0,468357984.0,25991460.0,4761720.0,8976366960.0,23716949544.0,0.3784789837051736,0.023392145278338754,0.3185558296293181,0.3471245319944006,0.07565792029518366,0.14116943989108038,0.03849732988188798,0.05217678667628802,0.0028955433880791344,0.0005304729654234189,0.1416999128565038,0.0390278028473114,0.31145796606336595,0.023392145278338754
74s,64184640.0,914555268.0,1015670916.0,223999092.0,393368172.0,495896980.0,156110184.0,8663724.0,8901708.0,3281350684.0,7930434044.0,0.4137668462778025,0.01956043293786517,0.27871305327388773,0.30952830520445523,0.06826429527701161,0.11987995489725596,0.15112587094638008,0.04757497720716034,0.002640292012141425,0.002712818243842419,0.12259277314109839,0.1538386891902225,0.39491102682763424,0.01956043293786517
75o,219751200.0,2931635592.0,3131866620.0,676896480.0,1668972384.0,352232496.0,470402784.0,25991460.0,5296320.0,9483045336.0,23742530412.0,0.399411737984215,0.023173062261525816,0.3091449516613383,0.3302595852948899,0.07137965242350287,0.1759954028337464,0.03714339471338788,0.04960461195036514,0.0027408347296759145,0.0005585041315677203,0.17655390696531412,0.0377018988449556,0.33798090491381366,0.023173062261525816
75s,67149480.0,937757268.0,1020873456.0,223262772.0,518638620.0,492303176.0,156787164.0,8663676.0,12821588.0,3438257200.0,7937795984.0,0.4331501095430522,0.019530092164134785,0.2727420357034372,0.2969159654490071,0.0649348664201154,0.15084346220521258,0.14318392934653057,0.0456007665744145,0.002519787059560291,0.003729095077587564,0.15457255728280014,0.14691302442411813,0.41454100176100844,0.019530092164134785
76o,236764080.0,3061038720.0,3167439240.0,677872800.0,1975578264.0,358776168.0,472451688.0,25991676.0,5296320.0,9981208956.0,23827280532.0,0.41889836914436174,0.023720982202028153,0.3066801560305898,0.3173402394402292,0.06791489918588575,0.1979297570774151,0.035945161511154324,0.04733411454290768,0.002604060902299379,0.0005306291074906538,0.19846038618490577,0.036475790618644977,0.35278925143464357,0.023720982202028153
76s,72280620.0,979195560.0,1032470736.0,223582044.0,614539728.0,488766960.0,157465512.0,8663700.0,16552260.0,3593517120.0,7963678604.0,0.45123834080836045,0.02011417160021767,0.2724894656964929,0.28731482320028573,0.06221816580631735,0.171013441004561,0.1360135331705335,0.04381932984919243,0.00241092492694177,0.0046061447454576205,0.17561958575001863,0.14061967791599111,0.4246876842484613,0.02011417160021767
77o,0.0,2391484716.0,3086399592.0,1301819760.0,212240484.0,182373036.0,991968600.0,102886920.0,2648160.0,8271821268.0,12456894540.0,0.6640355861919338,0.0,0.2891122327862174,0.3731221325997345,0.15738006393297713,0.02565825313719774,0.022047506841754452,0.11992142574906516,0.012438242639262983,0.0003201423137906224,0.025978395450988363,0.022367649155545073,0.3380857769278387,0.0
82o,321721200.0,3025888980.0,3162192000.0,698818872.0,538432416.0,336615468.0,466350912.0,26238780.0,3692544.0,8579951172.0,23791080084.0,0.3606373120390695,0.0374968567478463,0.3526697202980306,0.36855594357221594,0.08144788449152726,0.06275471797055583,0.03923279529824345,0.05435356246803592,0.0030581502707880447,0.0004303688827566209,0.06318508685331245,0.03966316418100007,0.24170784826466377,0.0374968567478463
82s,98376660.0,965561772.0,1030479168.0,230327808.0,166074816.0,505148220.0,155450304.0,8746260.0,1230848.0,3161395856.0,7955267800.0,0.39739653465845615,0.03111810873456146,0.3054226094993654,0.3259570186518268,0.07285636424266889,0.052532116686623505,0.15978644972323897,0.0491714138566265,0.002766581724778474,0.0003893368803099994,0.05292145356693351,0.16017578660354898,0.3378915999945563,0.03111810873456146
83o,339601680.0,3110018460.0,3203266776.0,696534168.0,554012280.0,344524032.0,468415800.0,26238636.0,4227120.0,8746838952.0,23794544124.0,0.36759850940693733,0.03882564682665716,0.3555591313692682,0.3662199331185308,0.07963267322313447,0.06333857100150711,0.03938840464431132,0.053552580831832376,0.0029997849673453095,0.0004832740174132796,0.0638218450189204,0.0398716786617246,0.23987856270295713,0.03882564682665716
83s,103879980.0,992469108.0,1043904648.0,229570200.0,170862156.0,505207740.0,156138696.0,8746212.0,1239120.0,3212017860.0,7955514592.0,0.4037473406472007,0.032341034367722975,0.30898617357003116,0.3249996399459622,0.07147226759193674,0.05319464693138412,0.15728671570960692,0.0486107807632178,0.002722964933949651,0.00038577618618845414,0.05358042311757257,0.15767249189579538,0.33405892830247214,0.032341034367722975
84o,336397680.0,3188102856.0,3220934424.0,694619808.0,946756440.0,351743616.0,470462328.0,26238636.0,4761720.0,9240017508.0,23792703564.0,0.3883550889097271,0.0364066063412485,0.34503212285471785,0.3485853161221088,0.07517516145381745,0.10246262403510589,0.03806741877874805,0.05091573988822792,0.002839673840150477,0.0005153366858750329,0.10297796072098092,0.038582755464623086,0.27049129136779987,0.0364066063412485
84s,102900180.0,1017642288.0,1049666196.0,228942228.0,293213892.0,501652532.0,156816252.0,8746164.0,5159520.0,3364739252.0,7954187716.0,0.4230148158600485,0.03058191803089531,0.3024431350498003,0.31196063569445354,0.06804159575334606,0.08714312463460987,0.14909105711588733,0.04660576652612486,0.002599358626318899,0.001533408568563874,0.08867653320317374,0.1506244656844512,0.35654771979341476,0.03058191803089531
85o,348778440.0,3261907032.0,3236618256.0,692381160.0,1349377560.0,358409952.0,472507128.0,26238636.0,5296320.0,9751514484.0,23818561344.0,0.409408206615151,0.03576659200704316,0.33450260852835134,0.3319092907374079,0.07100242338111057,0.13837620425155694,0.036754285971483565,0.04845474298123393,0.002690724199102774,0.000543127942709827,0.13891933219426678,0.03729741391419339,0.2983646366699074,0.03576659200704316
85s,106658460.0,1041379464.0,1054781544.0,228205944.0,418717788.0,498058728.0,157493232.0,8746116.0,9079908.0,3523121184.0,7961624188.0,0.4425128718471985,0.03027385503637561,0.2955843439985401,0.2993883800506818,0.06477379916319109,0.11884853405031214,0.14136860527588369,0.044702757519452956,0.0024824908208437033,0.002577234084718898,0.12142576813503103,0.1439458393606026,0.3773306549991214,0.03027385503637561
86o,358235640.0,3381058440.0,3271286340.0,693086256.0,1668972384.0,364953624.0,474556032.0,26238852.0,5296320.0,10243683888.0,23890015224.0,0.42878515530241923,0.03497136810514589,0.3300627466609696,0.3193466701790906,0.06765986373436594,0.16292697063359438,0.03562718529683703,0.04632669625386628,0.002561466391083934,0.0005170327450463786,0.16344400337864076,0.03614421804188341,0.31613624779984034,0.03497136810514589
86s,109474980.0,1079610984.0,1066086900.0,228438048.0,518638620.0,494511148.0,158171580.0,8746140.0,12821588.0,3676499988.0,7983401152.0,0.4605180070500358,0.029776956441540454,0.2936518393917645,0.28997331795992926,0.062134652181590054,0.1410685765518354,0.13450595664737428,0.0430223257218191,0.0023789310563163803,0.0034874440478306346,0.14455602059966605,0.1379934006952049,0.39008533025459646,0.029776956441540454
87o,375145560.0,3515753784.0,3305722224.0,694688544.0,1975578264.0,371246088.0,476603208.0,26239068.0,5296320.0,10746273060.0,23984053224.0,0.44805908991423443,0.03490936419588802,0.32716028751273885,0.30761569202113687,0.06464460191187436,0.183838457572192,0.0345464968112396,0.04435055812735881,0.0024416900495175023,0.0004928517980539758,0.18433130937024597,0.03503934860929357,0.33080750806829023,0.03490936419588802
87s,114561000.0,1122605304.0,1077308700.0,228957156.0,614539728.0,490909284.0,158849352.0,8746164.0,16552260.0,3833028948.0,8012351956.0,0.4783899869912305,0.029887851501819652,0.2928768134103849,0.2810593696565007,0.0597326968061291,0.16032744243182795,0.12807346113473703,0.041442252107927464,0.002281789185172624,0.004318323765500558,0.1646457661973285,0.1323917849002376,0.4004942891967953,0.029887851501819652
88o,0.0,2565492732.0,3271333392.0,1303310700.0,212240484.0,188548476.0,1001769912.0,103037232.0,2648160.0,8648381088.0,12473259660.0,0.6933537281945752,0.0,0.29664427433242174,0.3782596255545579,0.15069996184700968,0.024541065182071217,0.02180159200681144,0.11583322957287333,0.0119140485313452,0.000306202972909512,0.02484726815498073,0.02210779497972095,0.3254023030859299,0.0
92o,438250680.0,3391961244.0,3261933780.0,719573592.0,538432416.0,342776784.0,468437472.0,26590932.0,3692544.0,9191649444.0,23871587196.0,0.3850455928435367,0.04767922043481274,0.36902639343085025,0.35488013330722495,0.07828557827232124,0.05857843244353391,0.037292195061219745,0.050963374403467945,0.0028929445321000213,0.000401728114469201,0.05898016055800311,0.03769392317568895,0.22881598094158126,0.04767922043481274
92s,134061180.0,1080244596.0,1062605928.0,236951688.0,166074816.0,507668128.0,156145824.0,8863644.0,1230848.0,3353846652.0,7980471396.0,0.42025670985814534,0.03997236424630663,0.32209123078296303,0.3168319956925687,0.07065072216664961,0.04951771301200208,0.1513689147645621,0.046557234185673195,0.002642829240482519,0.00036699590879207556,0.049884708920794156,0.15173591067335418,0.32147140518695366,0.03997236424630663
93o,450355320.0,3483053364.0,3297477828.0,717784728.0,620254800.0,350685348.0,470501784.0,26590788.0,4227120.0,9420931080.0,23866212060.0,0.39473926806296883,0.04780369542837161,0.36971434504964024,0.35001612897904777,0.0761904234204418,0.06583795112531489,0.03722406469403871,0.04994217450532501,0.0028225222936245067,0.00044869450419543884,0.06628664562951032,0.03767275919823415,0.23291452504713578,0.04780369542837161
93s,137787900.0,1109427036.0,1074213204.0,236358480.0,191311992.0,507602620.0,156833928.0,8863596.0,1409040.0,3423807796.0,7977912148.0,0.4291608797495121,0.04024405229784692,0.32403309475962183,0.3137481038669847,0.06903380507402758,0.055876966056186875,0.14825675103404665,0.045806872740703344,0.002588812377363954,0.00041154179321811437,0.05628850784940499,0.14866829282726476,0.32238629086876464,0.04024405229784692
94o,470434680.0,3564689232.0,3337876308.0,715500024.0,636201144.0,357906948.0,472564944.0,26590644.0,4761720.0,9586525644.0,23869405044.0,0.40162398795984,0.049072489603617236,0.37184370692536167,0.348184152627715,0.07463601001764555,0.06636409974015817,0.03733437548607678,0.04929470399902056,0.002773751929265689,0.0004967096711393307,0.0668608094112975,0.03783108515721611,0.2313963605144454,0.049072489603617236
94s,143965860.0,1135522392.0,1087411344.0,235600872.0,196211772.0,507662656.0,157521744.0,8863548.0,1417320.0,3474177508.0,7978351864.0,0.43545052502337217,0.04143883254913986,0.3268463944013306,0.31299821079838736,0.06781486307406029,0.05647718677246125,0.14612455892970452,0.04534072989571608,0.002551265149690791,0.00040795842950923855,0.056885145201970494,0.14653251735921377,0.31912452068065145,0.04143883254913986
95o,484872840.0,3648979272.0,3354981924.0,713911896.0,1028945304.0,364573284.0,474609744.0,26590644.0,5296320.0,10102761228.0,23896003344.0,0.42278037387941203,0.04799409082896718,0.36118633209768264,0.3320856395874825,0.07066502710381586,0.1018479285789966,0.03608649910378739,0.04697822043785513,0.0026320174653146817,0.0005242447960980356,0.10237217337509465,0.036610743899885424,0.2592581822819657,0.04799409082896718
