attribute,class,accuracy,precision,recall,f1_score,support_frac,rmse
suited,0,0.8994082840236687,0.9021739130434783,0.9120879120879121,0.907103825136612,0.5384615384615384,
suited,1,0.8994082840236687,0.8961038961038961,0.8846153846153846,0.8903225806451613,0.46153846153846156,
connectedness,0,0.41420118343195267,1.0,1.0,1.0,0.07692307692307693,
connectedness,1,0.41420118343195267,0.6,0.8076923076923077,0.6885245901639344,0.15384615384615385,
connectedness,2,0.41420118343195267,0.38461538461538464,0.20833333333333334,0.2702702702702703,0.14201183431952663,
connectedness,3,0.41420118343195267,0.5714285714285714,0.5454545454545454,0.5581395348837209,0.1301775147928994,
connectedness,4,0.41420118343195267,0.22727272727272727,0.25,0.23809523809523808,0.11834319526627218,
connectedness,5,0.41420118343195267,0.2,0.2222222222222222,0.21052631578947367,0.10650887573964497,
connectedness,6,0.41420118343195267,0.2,0.1875,0.1935483870967742,0.09467455621301775,
connectedness,7,0.41420118343195267,0.25,0.3,0.2727272727272727,0.05917159763313609,
connectedness,8,0.41420118343195267,0.25,0.25,0.25,0.047337278106508875,
connectedness,9,0.41420118343195267,0.0,0.0,0.0,0.03550295857988166,
connectedness,10,0.41420118343195267,0.25,0.5,0.3333333333333333,0.023668639053254437,
connectedness,11,0.41420118343195267,0.0,0.0,0.0,0.011834319526627219,
pair,0,1.0,1.0,1.0,1.0,0.9230769230769231,
pair,1,1.0,1.0,1.0,1.0,0.07692307692307693,
high_card,0,0.8816568047337278,0.0,0.0,0.0,0.005917159763313609,
high_card,1,0.8816568047337278,0.0,0.0,0.0,0.01775147928994083,
high_card,2,0.8816568047337278,0.0,0.0,0.0,0.029585798816568046,
high_card,3,0.8816568047337278,0.35714285714285715,0.7142857142857143,0.47619047619047616,0.04142011834319527,
high_card,4,0.8816568047337278,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.05325443786982249,
high_card,5,0.8816568047337278,0.7857142857142857,1.0,0.88,0.0650887573964497,
high_card,6,0.8816568047337278,0.8888888888888888,0.6153846153846154,0.7272727272727273,0.07692307692307693,
high_card,7,0.8816568047337278,0.7647058823529411,0.8666666666666667,0.8125,0.08875739644970414,
high_card,8,0.8816568047337278,0.9444444444444444,1.0,0.9714285714285714,0.10059171597633136,
high_card,9,0.8816568047337278,1.0,1.0,1.0,0.11242603550295859,
high_card,10,0.8816568047337278,1.0,1.0,1.0,0.1242603550295858,
high_card,11,0.8816568047337278,1.0,1.0,1.0,0.13609467455621302,
high_card,12,0.8816568047337278,1.0,1.0,1.0,0.14792899408284024,
low_card,0,0.5384615384615384,0.6052631578947368,0.92,0.7301587301587301,0.14792899408284024,
low_card,1,0.5384615384615384,0.625,0.43478260869565216,0.5128205128205128,0.13609467455621302,
low_card,2,0.5384615384615384,0.5294117647058824,0.42857142857142855,0.47368421052631576,0.1242603550295858,
low_card,3,0.5384615384615384,0.47058823529411764,0.42105263157894735,0.4444444444444444,0.11242603550295859,
low_card,4,0.5384615384615384,0.4444444444444444,0.47058823529411764,0.45714285714285713,0.10059171597633136,
low_card,5,0.5384615384615384,0.6153846153846154,0.5333333333333333,0.5714285714285714,0.08875739644970414,
low_card,6,0.5384615384615384,0.5625,0.6923076923076923,0.6206896551724138,0.07692307692307693,
low_card,7,0.5384615384615384,0.625,0.45454545454545453,0.5263157894736842,0.0650887573964497,
low_card,8,0.5384615384615384,0.36363636363636365,0.4444444444444444,0.4,0.05325443786982249,
low_card,9,0.5384615384615384,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.04142011834319527,
low_card,10,0.5384615384615384,0.4,0.4,0.4,0.029585798816568046,
low_card,11,0.5384615384615384,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.01775147928994083,
low_card,12,0.5384615384615384,0.0,0.0,0.0,0.005917159763313609,
rank_diff,0,0.40236686390532544,1.0,1.0,1.0,0.07692307692307693,
rank_diff,1,0.40236686390532544,0.5161290322580645,0.6666666666666666,0.5818181818181818,0.14201183431952663,
rank_diff,2,0.40236686390532544,0.3125,0.22727272727272727,0.2631578947368421,0.1301775147928994,
rank_diff,3,0.40236686390532544,0.45,0.45,0.45,0.11834319526627218,
rank_diff,4,0.40236686390532544,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.10650887573964497,
rank_diff,5,0.40236686390532544,0.38461538461538464,0.3125,0.3448275862068966,0.09467455621301775,
rank_diff,6,0.40236686390532544,0.25,0.2857142857142857,0.26666666666666666,0.08284023668639054,
rank_diff,7,0.40236686390532544,0.25,0.25,0.25,0.07100591715976332,
rank_diff,8,0.40236686390532544,0.36363636363636365,0.4,0.38095238095238093,0.05917159763313609,
rank_diff,9,0.40236686390532544,0.4,0.25,0.3076923076923077,0.047337278106508875,
rank_diff,10,0.40236686390532544,0.4,0.3333333333333333,0.36363636363636365,0.03550295857988166,
rank_diff,11,0.40236686390532544,0.2222222222222222,0.5,0.3076923076923077,0.023668639053254437,
rank_diff,12,0.40236686390532544,0.0,0.0,0.0,0.011834319526627219,
hand_type,offsuit,0.9289940828402367,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.46153846153846156,
hand_type,pair,0.9289940828402367,1.0,1.0,1.0,0.07692307692307693,
hand_type,suited,0.9289940828402367,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.46153846153846156,
ace,0,0.9940828402366864,0.993103448275862,1.0,0.9965397923875432,0.8520710059171598,
ace,1,0.9940828402366864,1.0,0.96,0.9795918367346939,0.14792899408284024,
broadway,0,0.9763313609467456,1.0,0.984375,0.9921259842519685,0.378698224852071,
broadway,1,0.9763313609467456,0.975,0.975,0.975,0.47337278106508873,
broadway,2,0.9763313609467456,0.9230769230769231,0.96,0.9411764705882353,0.14792899408284024,
low_pair,0,1.0,1.0,1.0,1.0,0.9704142011834319,
low_pair,1,1.0,1.0,1.0,1.0,0.029585798816568046,
medium_pair,0,1.0,1.0,1.0,1.0,0.9763313609467456,
medium_pair,1,1.0,1.0,1.0,1.0,0.023668639053254437,
high_pair,0,0.9763313609467456,0.9763313609467456,1.0,0.9880239520958084,0.9763313609467456,
high_pair,1,0.9763313609467456,0.0,0.0,0.0,0.023668639053254437,
suited_broadway,0,0.9585798816568047,0.9745762711864406,0.9663865546218487,0.9704641350210971,0.7041420118343196,
suited_broadway,1,0.9585798816568047,0.9487179487179487,0.925,0.9367088607594937,0.23668639053254437,
suited_broadway,2,0.9585798816568047,0.8333333333333334,1.0,0.9090909090909091,0.05917159763313609,
connector,0,0.8994082840236687,0.92,0.965034965034965,0.9419795221843004,0.8461538461538461,
connector,1,0.8994082840236687,0.7368421052631579,0.5384615384615384,0.6222222222222222,0.15384615384615385,
one_gap,0,0.8579881656804734,0.8579881656804734,1.0,0.9235668789808917,0.8579881656804734,
one_gap,1,0.8579881656804734,0.0,0.0,0.0,0.14201183431952663,
two_gap,0,0.8875739644970414,0.8855421686746988,1.0,0.939297124600639,0.8698224852071006,
two_gap,1,0.8875739644970414,1.0,0.13636363636363635,0.24,0.1301775147928994,
suited_connector,0,0.9467455621301775,0.9454545454545454,1.0,0.9719626168224299,0.9230769230769231,
suited_connector,1,0.9467455621301775,1.0,0.3076923076923077,0.47058823529411764,0.07692307692307693,
suited_one_gap,0,0.9289940828402367,0.9289940828402367,1.0,0.9631901840490797,0.9289940828402367,
suited_one_gap,1,0.9289940828402367,0.0,0.0,0.0,0.07100591715976332,
suited_two_gap,0,0.9585798816568047,0.9575757575757575,1.0,0.978328173374613,0.9349112426035503,
suited_two_gap,1,0.9585798816568047,1.0,0.36363636363636365,0.5333333333333333,0.0650887573964497,
tot_win_perc,,,,,,,0.08706708005875056
high_card_win_perc,,,,,,,0.04640796928250728
one_pair_win_perc,,,,,,,0.05951937586857266
two_pair_win_perc,,,,,,,0.06257779990607977
three_of_a_kind_win_perc,,,,,,,0.05184748406088109
straight_win_perc,,,,,,,0.05118306238946243
flush_win_perc,,,,,,,0.06454909745227093
full_house_win_perc,,,,,,,0.05023696786296218
four_of_a_kind_win_perc,,,,,,,0.04672165600846922
straight_flush_win_perc,,,,,,,0.046712880240424845
BB_play10,,,,,,,0.14923241801014384
BB_play2,,,,,,,0.1385155578501737
BB_play3,,,,,,,0.16578037429213277
BB_play4,,,,,,,0.15320220162992643
BB_play5,,,,,,,0.1418513002526703
BB_play6,,,,,,,0.16384936362516325
BB_play7,,,,,,,0.17015377137893511
BB_play8,,,,,,,0.1437585604035436
BB_play9,,,,,,,0.15483084044356699
D_play10,,,,,,,0.14692908490128842
D_play3,,,,,,,0.13171517102085378
D_play4,,,,,,,0.13291079193546285
D_play5,,,,,,,0.13827434872370103
D_play6,,,,,,,0.14985640573984935
D_play7,,,,,,,0.14874251195114077
D_play8,,,,,,,0.14465512664812696
D_play9,,,,,,,0.14750483172891618
SB_play10,,,,,,,0.1431753665645459
SB_play2,,,,,,,0.1408422940187425
SB_play3,,,,,,,0.15322681065544358
SB_play4,,,,,,,0.14310347586274016
SB_play5,,,,,,,0.1374123652986457
SB_play6,,,,,,,0.16918694765082187
SB_play7,,,,,,,0.15871233240339513
SB_play8,,,,,,,0.1564732966485446
SB_play9,,,,,,,0.15715190213792016
pos3_play10,,,,,,,0.1467897834951828
pos3_play4,,,,,,,0.1301631293459676
pos3_play5,,,,,,,0.13267426507199642
pos3_play6,,,,,,,0.14169218075049234
pos3_play7,,,,,,,0.13742750461495293
pos3_play8,,,,,,,0.14436734630075626
pos3_play9,,,,,,,0.1412236510614877
pos4_play10,,,,,,,0.13567423797719327
pos4_play5,,,,,,,0.13216408509669436
pos4_play6,,,,,,,0.1611872447387853
pos4_play7,,,,,,,0.14131037262140386
pos4_play8,,,,,,,0.14391612548365013
pos4_play9,,,,,,,0.14904074334696954
pos5_play10,,,,,,,0.14236078206919547
pos5_play6,,,,,,,0.15081881074057252
pos5_play7,,,,,,,0.13742757175090545
pos5_play8,,,,,,,0.1347750599757818
pos5_play9,,,,,,,0.1356504725358459
pos6_play10,,,,,,,0.14932249523957114
pos6_play7,,,,,,,0.16141629750020042
pos6_play8,,,,,,,0.1384967401566707
pos6_play9,,,,,,,0.13870351153547536
pos7_play10,,,,,,,0.14287739099908647
pos7_play8,,,,,,,0.1418747730285323
pos7_play9,,,,,,,0.14233871168372525
pos8_play10,,,,,,,0.14693602457725452
pos8_play9,,,,,,,0.14278598700356843
pos9_play10,,,,,,,0.14756779322203348
